taxon;summer_niche;number_seedlings;number_plots_sown;germ_rate
Achillea moschata;9,48447265277778;121;50;12,1
Agrostis agrostiflora;9,30103419444444;38;50;3,8
Agrostis alpina;8,89184820833333;74;50;7,4
Agrostis rupestris;8,00756473611111;69;50;6,9
Anthoxanthum alpinum;9,30827511111111;104;50;10,4
Avenula versicolor;8,51524660416667;81;50;8,1
Carex curvula;7,98261993055556;3;50;0,3
Carex sempervirens;9,44108145833333;39;50;3,9
Cerastium uniflorum;5,71917962705556;37;50;3,7
Crepis aurea;9,39453829166667;237;50;23,7
Deschampsia cespitosa;8,81157062500000;131;50;13,1
Festuca nigrescens;10,94625993055556;142;50;14,2
Festuca nigricans;9,25749523611111;261;50;26,1
Geranium sylvaticum;9,30103419444444;126;50;12,6
Geum montanum;9,43683370833333;199;50;19,9
Geum reptans;6,77402724861111;42;50;4,2
Gnaphalium supinum;7,65654111111111;34;50;3,4
Homogyne alpina;8,89184820833333;94;50;9,4
Juncus trifidus;9,26054004166667;29;50;2,9
Kobresia myosuroides;8,95524893055556;5;50;0,5
Leucanthemopsis alpina;7,60104161111111;201;50;20,1
Luzula alpino-pilosa;8,04288498611111;6;50;0,6
Luzula lutea;9,49799370833333;10;50;1,0
Luzula spicata;7,49229345833333;32;50;3,2
Mutellina adonidifolia;8,68863445138889;175;50;17,5
Nardus stricta;9,59176226388889;31;50;3,1
Oreochloa disticha;7,02868365972222;107;50;10,7
Oxyria digyna;6,23364044791667;77;50;7,7
Persicaria vivipara;8,70728079861111;6;50;0,6
Phyteuma hemisphaericum;8,64581868055556;94;50;9,4
Poa alpina;8,50642650000000;91;50;9,1
Poa laxa;5,64141730506944;70;50;7,0
Primula glutinosa;6,65640428541667;9;50;0,9
Ranunculus glacialis;5,66713340902778;7;50;0,7
Ranunculus villarsii;9,43683370833333;131;50;13,1
Saxifraga bryoides;6,72559696527778;1;50;0,1
Scorzoneroides helvetica;8,89392522222222;243;50;24,3
Sedum alpestre;7,47281421111111;6;50;0,6
Sibbaldia procumbens;8,72742473611111;52;50;5,2
Solidago virgaurea subsp. minuta;9,88242397222222;129;50;12,9
Trifolium badium;9,28507226388889;187;50;18,7
Vaccinium myrtillus;9,23035537500000;19;50;1,9
Vaccinium vitis-idaea;9,25439905555556;1;50;0,1
Veronica alpina;7,15836098611111;13;50;1,3
Veronica bellidioides;8,93361095138889;66;50;6,6
